KEGG_pathway,Biochemical_class,Enzyme_class,PDB_structure,Mode_of_action,Outcome
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Binder,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Salivary secretion",GPCR rhodopsin,,,.,1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment",Voltage-gated ion channel,,,Antagonist,1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment",Voltage-gated ion channel,,,Blocker,1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment",Voltage-gated ion channel,,,Inhibitor,1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment",Voltage-gated ion channel,,,Blocker (channel blocker),1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment",Voltage-gated ion channel,,,Modulator,1.0
Inflammatory mediator regulation of TRP channels,Amiloride-sensitive sodium channel,,,Blocker,1.0
Inflammatory mediator regulation of TRP channels,Amiloride-sensitive sodium channel,,,Modulator,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,,Inhibitor,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,,.,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,,Agonist,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,,Antagonist,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,,Modulator,1.0
"cAMP signaling pathway, AMPK signaling pathway, Insulin signaling pathway",Carboxylic ester hydrolase,Hydrolases,,Modulator,1.0
"cAMP signaling pathway, AMPK signaling pathway, Insulin signaling pathway",Carboxylic ester hydrolase,Hydrolases,,Inhibitor,1.0
"Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Neurotransmitter:sodium symporter,,,Inhibitor,1.0
"Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Neurotransmitter:sodium symporter,,,Modulator,1.0
"Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Neurotransmitter:sodium symporter,,,Antagonist,1.0
"Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Neurotransmitter:sodium symporter,,,Activator,1.0
"Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Neurotransmitter:sodium symporter,,,Blocker,1.0
"Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Neurotransmitter:sodium symporter,,,Agonist,1.0
"Sphingolipid metabolism, Metabolic pathways",Phosphoric diester hydrolase,Hydrolases,,Inhibitor,0.0
Serotonergic synapse,GPCR rhodopsin,,,Modulator (allosteric modulator),0.0
Serotonergic synapse,GPCR rhodopsin,,,Agonist,0.0
Serotonergic synapse,GPCR rhodopsin,,,Antagonist,0.0
Serotonergic synapse,GPCR rhodopsin,,,Blocker (channel blocker),0.0
Serotonergic synapse,GPCR rhodopsin,,,Inhibitor,0.0
"Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Propanoate metabolism, Butanoate metabolism, Metabolic pathways, GABAergic synapse",Transaminase,Transferases,,Inhibitor,1.0
"Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Propanoate metabolism, Butanoate metabolism, Metabolic pathways, GABAergic synapse",Transaminase,Transferases,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Stimulator,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,,Inhibitor,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,,Modulator,1.0
"Arachidonic acid metabolism, Metabolic pathways, Platelet activation, Serotonergic synapse",Paired donor oxygen oxidoreductase,Oxidoreductases,,Inhibitor,1.0
"Arachidonic acid metabolism, Metabolic pathways, Platelet activation, Serotonergic synapse",Paired donor oxygen oxidoreductase,Oxidoreductases,,Modulator,1.0
"Arachidonic acid metabolism, Metabolic pathways, Platelet activation, Serotonergic synapse",Paired donor oxygen oxidoreductase,Oxidoreductases,,Agonist,1.0
"Complement and coagulation cascades, Prion diseases, Pertussis, Staphylococcus aureus infection, Herpes simplex infection, Systemic lupus erythematosus",Complement system,,,Inhibitor,1.0
"Complement and coagulation cascades, Prion diseases, Pertussis, Staphylococcus aureus infection, Herpes simplex infection, Systemic lupus erythematosus",Complement system,,,Antagonist,1.0
"Complement and coagulation cascades, Prion diseases, Pertussis, Staphylococcus aureus infection, Herpes simplex infection, Systemic lupus erythematosus",Complement system,,,.,1.0
"Complement and coagulation cascades, Prion diseases, Pertussis, Staphylococcus aureus infection, Herpes simplex infection, Systemic lupus erythematosus",Complement system,,,Modulator,1.0
GABAergic synapse,Neurotransmitter:sodium symporter,,,Inhibitor,1.0
GABAergic synapse,Neurotransmitter:sodium symporter,,,Modulator,1.0
"Purine metabolism, Rap1 signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, Oocyte meiosis, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Gap junction, Platelet activation, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Cholinergic synapse, GABAergic synapse, Inflammatory mediator regulation of TRP channels, Insulin secretion, GnRH signaling pathway, Ovarian steroidogenesis, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Melanogenesis, Thyroid hormone synthesis, Oxytocin signaling pathway, Regulation of lipolysis in adipocytes, Salivary secretion, Gastric acid secretion, Pancreatic secretion, Bile secretion, Morphine addiction, Chagas disease (American trypanosomiasis), Amoebiasis, HTLV-I infection, Pathways in cancer, Dilated cardiomyopathy",Phosphorus-oxygen lyase,Lyases,,Binder,1.0
Serotonergic synapse,GPCR rhodopsin,,,Blocker (channel blocker),1.0
Serotonergic synapse,GPCR rhodopsin,,,Modulator (allosteric modulator),1.0
Serotonergic synapse,GPCR rhodopsin,,,Agonist,1.0
Serotonergic synapse,GPCR rhodopsin,,,Antagonist,1.0
Serotonergic synapse,GPCR rhodopsin,,,Inhibitor,1.0
Serotonergic synapse,GPCR rhodopsin,,,Modulator,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Binder,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,.,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Agonis; Inverse agonist,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Inverse agonist,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Ligand,1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment, Type II diabetes mellitus",Voltage-gated ion channel,,,Blocker (channel blocker),1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment, Type II diabetes mellitus",Voltage-gated ion channel,,,Inhibitor,1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment, Type II diabetes mellitus",Voltage-gated ion channel,,,Blocker,1.0
"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment, Type II diabetes mellitus",Voltage-gated ion channel,,,Modulator,1.0
"D-Alanine metabolism, Peptidoglycan biosynthesis, Metabolic pathways, Vancomycin resistance",Carbon-nitrogen ligase,Ligases,,,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Parkinson's disease, Huntington's disease, HTLV-I infection",Mitochondrial carrier,,,Inhibitor,1.0
"N-Glycan biosynthesis, Metabolic pathways",Glycosylase,Hydrolases,,Inhibitor,0.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Modulator,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Agonist,1.0
"Steroid hormone biosynthesis, Prostate cancer",CH-CH donor oxidoreductase,Oxidoreductases,,Inhibitor,1.0
"Starch and sucrose metabolism, MAPK signaling pathway - yeast",Hexosyltransferase,Transferases,,Modulator,1.0
"Starch and sucrose metabolism, MAPK signaling pathway - yeast",Hexosyltransferase,Transferases,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, HTLV-I infection",Cholesterol/porphyrin uptake translocator,,,Binder,1.0
"Neuroactive ligand-receptor interaction, HTLV-I infection",Cholesterol/porphyrin uptake translocator,,,Modulator,1.0
"Neuroactive ligand-receptor interaction, HTLV-I infection",Cholesterol/porphyrin uptake translocator,,,Agonist,1.0
"Neuroactive ligand-receptor interaction, HTLV-I infection",Cholesterol/porphyrin uptake translocator,,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, HTLV-I infection",Cholesterol/porphyrin uptake translocator,,,Antagonist,1.0
"Neuroactive ligand-receptor interaction, HTLV-I infection",Cholesterol/porphyrin uptake translocator,,,Suppressor,1.0
"Neuroactive ligand-receptor interaction, HTLV-I infection",Cholesterol/porphyrin uptake translocator,,,Ligand,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Inhibitor,1.0
"Fatty acid degradation, Fatty acid metabolism, PPAR signaling pathway, AMPK signaling pathway, Adipocytokine signaling pathway, Glucagon signaling pathway",Acyltransferase,Transferases,,Activator,1.0
"Fatty acid degradation, Fatty acid metabolism, PPAR signaling pathway, AMPK signaling pathway, Adipocytokine signaling pathway, Glucagon signaling pathway",Acyltransferase,Transferases,,Inhibitor,1.0
"Fatty acid degradation, Fatty acid metabolism, PPAR signaling pathway, AMPK signaling pathway, Adipocytokine signaling pathway, Glucagon signaling pathway",Acyltransferase,Transferases,,Modulator,1.0
"Pyrimidine metabolism, beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Drug metabolism - other enzymes, Metabolic pathways",CH/CH donor oxidoreductase,Oxidoreductases,,Inhibitor,1.0
"Pyrimidine metabolism, beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Drug metabolism - other enzymes, Metabolic pathways",CH/CH donor oxidoreductase,Oxidoreductases,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Modulator (allosteric modulator),1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Binder,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,.,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Ligand,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,,Modulator,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,,Blocker (channel blocker),1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,,Inhibitor,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,,Binder,1.0
"Phagosome, Osteoclast differentiation, Natural killer cell mediated cytotoxicity, Fc gamma R-mediated phagocytosis, Leishmaniasis, Staphylococcus aureus infection, Tuberculosis, Systemic lupus erythematosus",Immunoglobulin,,,Inhibitor,1.0
"Phagosome, Osteoclast differentiation, Natural killer cell mediated cytotoxicity, Fc gamma R-mediated phagocytosis, Leishmaniasis, Staphylococcus aureus infection, Tuberculosis, Systemic lupus erythematosus",Immunoglobulin,,,Antagonist,1.0
"MAPK signaling pathway, NF-kappa B signaling pathway, Osteoclast differentiation, Legionellosis, HTLV-I infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis",,,,Activator,1.0
"MAPK signaling pathway, NF-kappa B signaling pathway, Osteoclast differentiation, Legionellosis, HTLV-I infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis",,,,Inhibitor,1.0
"MAPK signaling pathway, NF-kappa B signaling pathway, Osteoclast differentiation, Legionellosis, HTLV-I infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis",,,,Modulator,1.0
"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",Transient receptor potential catioin channel,,,Agonist,1.0
"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",Transient receptor potential catioin channel,,,Antagonist,1.0
"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",Transient receptor potential catioin channel,,,Blocker,1.0
"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",Transient receptor potential catioin channel,,,Blocker (channel blocker),1.0
"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",Transient receptor potential catioin channel,,,Activator,1.0
"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",Transient receptor potential catioin channel,,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",Transient receptor potential catioin channel,,,Modulator,1.0
"MAPK signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Oxytocin signaling pathway, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,,Inhibitor,1.0
"MAPK signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Oxytocin signaling pathway, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,,Modulator,1.0
"MAPK signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Oxytocin signaling pathway, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,,Agonist,1.0
"MAPK signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Oxytocin signaling pathway, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,,Blocker,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Oxytocin signaling pathway",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Oxytocin signaling pathway",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Oxytocin signaling pathway",GPCR rhodopsin,,,Inhibitor,1.0
